association	dataset	threshold value	standardized value
GTEX-RVPV-0011-R11A-SM-2TF6F	GTEx Tissue Sample Gene Expression Profiles	1.0	1.32718
USF2_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
EZH2_endothelial cell of umbilical vein_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
word	GeneRIF Biological Term Annotations	1.0	null
PITX2	Pathway Commons Protein-Protein Interactions	1.0	null
MXI1_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
hsa-miR-4436b-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.40969
strongly	GeneRIF Biological Term Annotations	1.0	null
NAV3	Pathway Commons Protein-Protein Interactions	1.0	null
VMRC-LCD	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.27048
YAF2	Pathway Commons Protein-Protein Interactions	1.0	null
octreotide	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.03943
BRD-K55171585	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.70833
formation	GeneRIF Biological Term Annotations	1.0	null
BRD-K87617154	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.06083
Prostate adenocarcinoma_PRAD_TCGA-VP-A872-01A-11R-A352-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
CHD2_MEL cell line_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
NCI-H1355	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.36138
SMRT-27268052-CHIP-SEQ-BCELLS-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
BRD-K90962922	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.19932
RCOR1_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SUCLG2	Pathway Commons Protein-Protein Interactions	1.0	null
anterior (rostral) cingulate (medial prefrontal) cortex_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	0.916054
hsa-miR-628-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.55165
cell projection	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.050172
nervous system	TISSUES Experimental Tissue Protein Expression Evidence Scores	1.0	0.766457
superficial stratum of FCx (cortical plate/marginal zone)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.01654
BRD-K33257311	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.78843
supportive	GeneRIF Biological Term Annotations	1.0	null
BRD-K86285108	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.3081
layer 6 of FCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.23069
intracellular part	GO Cellular Component Annotations 2015	1.0	null
GTEX-WL46-0011-R2A-SM-3LK6O	GTEx Tissue Sample Gene Expression Profiles	1.0	0.835798
ESR1	JASPAR Predicted Transcription Factor Targets	1.0	null
BRD-K59099886	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.11668
BRD-K30977850	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.84618
GTEX-XBED-2426-SM-4AT4O	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
UOK101	DepMap CRISPR Gene Dependency	1.0	3.09497
CTCF_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HDAC6	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_BJ_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
EFO21	CCLE Cell Line Gene CNV Profiles	1.0	1.49512
BRD-K59517185	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.175
SIN3B	ChEA Transcription Factor Targets	1.0	null
cohort	GeneRIF Biological Term Annotations	1.0	null
MYO18A	Pathway Commons Protein-Protein Interactions	1.0	null
posteroventral (inferior) parietal cortex_17 pcw_F_12880	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.35221
H2AFZ_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-UTHO-0011-R6A-SM-3GIJW	GTEx Tissue Sample Gene Expression Profiles	1.0	1.07212
MUTZ8	DepMap CRISPR Gene Dependency	1.0	2.20849
MRGBP	Pathway Commons Protein-Protein Interactions	1.0	null
anterior (rostral) cingulate (medial prefrontal) cortex_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.841788
ZNF384	ENCODE Transcription Factor Targets	1.0	null
SKMEL5	BioGPS Cell Line Gene Expression Profiles	-1.0	-0.863863
alleles	GeneRIF Biological Term Annotations	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-D6-A6EO-01A-11R-A31N-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-XPVG-2526-SM-4B66D	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.84881
TCF12	ENCODE Transcription Factor Targets	1.0	null
H3K4me1_GM12878_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
organism form	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.261284
HDAC2_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
risk	GeneRIF Biological Term Annotations	1.0	null
H3K4me3_ES-E14_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
SG in primary somatosensory cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.02562
GTEX-WH7G-0326-SM-3NMBH	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
superficial stratum of r4BL	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.10334
MYC_K562_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_testis_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-B0-5700-01A-11R-1541-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
temporal lobe	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.486716
VZ in midlateral temporal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.34112
BRD-K37120019	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.56339
GTEX-QVUS-0011-R3A-SM-3GAFD	GTEx Tissue Sample Gene Expression Profiles	1.0	1.69607
SPI1_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
MAPK1_knockdown_131_GSE31534	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	-1.0	-1.88372
layer 4 of PCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.12324
EHHADH	Pathway Commons Protein-Protein Interactions	1.0	null
TK-10	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.88756
substantia nigra, pars compacta, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.12958
inner SZ in ventromedial extrastriate cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.12566
BRD-K01888220	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.02266
BRD-K05718365	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.024
NCIH1869	CCLE Cell Line Gene Expression Profiles	1.0	1.61277
H3K9ac_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-NPJ7-2826-SM-2I3FU	GTEx Tissue Sample Gene Expression Profiles	1.0	0.930333
ST6GALNAC6	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-QDT8-0011-R8A-SM-32PKE	GTEx Tissue Sample Gene Expression Profiles	1.0	1.03943
GTEX-T2IS-0011-R5A-SM-32QP4	GTEx Tissue Sample Gene Expression Profiles	1.0	1.35759
early	GeneRIF Biological Term Annotations	1.0	null
NUDUL1	CCLE Cell Line Gene CNV Profiles	-1.0	-1.60608
BRD-K70426100	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.87506
UBTF	Pathway Commons Protein-Protein Interactions	1.0	null
TCF3_GM12878_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K54956860	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.33943
GTEX-RU72-0011-R8A-SM-2TF61	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04003
PRG4	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-A02726762	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.09005
NCIH2023	CCLE Cell Line Gene CNV Profiles	-1.0	-1.63141
PHF8_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
COLO 699	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.890049
Amygdala	BioGPS Human Cell Type and Tissue Gene Expression Profiles	1.0	1.36785
GTEX-Q2AG-0011-R1A-SM-2HMJI	GTEx Tissue Sample Gene Expression Profiles	1.0	1.32967
H3K4me3_Duodenum Mucosa	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Piriform-amygdalar area, molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.38207
SREBF2	ChEA Transcription Factor Targets	1.0	null
BRD-K14181473	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.43857
BRD-K80877725	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.26927
disease of metabolism	GWASdb SNP-Disease Associations	1.0	0.075129
TCF3_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
G112	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.973627
BRD-K11990377	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.50477
BHT101	CCLE Cell Line Gene Expression Profiles	-1.0	-1.53514
H3K4me1_astrocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
CCNT2	ENCODE Transcription Factor Targets	1.0	null
BRD-K81082554	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.40428
UKE-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.954439
KYSE270	DepMap CRISPR Gene Dependency	1.0	3.12468
POLR2AphosphoS5_neural cell_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_BE2C_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
dyslexics	GeneRIF Biological Term Annotations	1.0	null
GTEX-XMD1-0011-R5A-SM-4AT47	GTEx Tissue Sample Gene Expression Profiles	1.0	1.41492
HNT-34	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.08148
hsa-miR-3689b	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.40969
GTEX-QDT8-0011-R1A-SM-32PKS	GTEx Tissue Sample Gene Expression Profiles	1.0	1.10073
H3K4me3_Colon Smooth Muscle	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
H3K4me1_Stomach Smooth Muscle	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
posterior (caudal) superior temporal cortex (area 22c)_4 yrs_M_12298	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.997435
SETX	Pathway Commons Protein-Protein Interactions	1.0	null
ETV3	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-526b	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
caudal (posterior) extramural migratory stream	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.54362
superficial stratum of r3Co	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.48081
GTEX-WVLH-0011-R2A-SM-3MJFJ	GTEx Tissue Sample Gene Expression Profiles	1.0	1.34757
Response to radiation	dbGAP Gene-Trait Associations	1.0	0.443956
GTEX-QEG5-0626-SM-2S1PP	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Pancreatic_Islets	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	1.0	1.39665
CPSF2	Pathway Commons Protein-Protein Interactions	1.0	null
A-Vietnam-1203-2004(H5N1)_24Hour_21865398_GSE28166	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	1.41579
BRD-K20068050	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.42492
Prostate adenocarcinoma_PRAD_TCGA-EJ-7782-11A-01R-2118-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Dyslexia	HuGE Navigator Gene-Phenotype Associations	1.0	null
Anterior cingulate area, ventral part, 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.01035
TCF7L2	ENCODE Transcription Factor Targets	1.0	null
H3K9ac_H1-hESC_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K76100122	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.16847
GTEX-S7SF-1826-SM-3K2AD	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Lung squamous cell carcinoma_LUSC_TCGA-60-2722-01A-01R-0851-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
A549	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.887668
PSMC1	Pathway Commons Protein-Protein Interactions	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-CZ-5456-01A-01R-1503-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Orbital area, lateral part, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.35196
EZH2_fibroblast of dermis_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-RM2N-0008-SM-48FF3	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CTCF_testis_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-RNOR-0011-R7A-SM-2TF4V	GTEx Tissue Sample Gene Expression Profiles	1.0	0.865517
BRD-K41655405	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.07732
GTEX-T2IS-0011-R11A-SM-32QPC	GTEx Tissue Sample Gene Expression Profiles	1.0	1.48492
BRD-K93693615	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.62528
UBA1	Pathway Commons Protein-Protein Interactions	1.0	null
disease of anatomical entity	GWASdb SNP-Disease Associations	1.0	0.050598
Primary somatosensory area, unassigned, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.07175
dyslexia	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	3.24223
Fetalbrain	BioGPS Human Cell Type and Tissue Gene Expression Profiles	1.0	2.2603
CCM2L	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me2_H1-hESC_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
ZNF541	Pathway Commons Protein-Protein Interactions	1.0	null
protein binding	GO Molecular Function Annotations 2015	1.0	null
hsa-miR-548o	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.2992
hsa-miR-3942-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.965816
BT16	DepMap CRISPR Gene Dependency	1.0	3.58253
GTEX-T5JC-0011-R11A-SM-32PMB	GTEx Tissue Sample Gene Expression Profiles	1.0	1.14741
FOSL2	Pathway Commons Protein-Protein Interactions	1.0	null
readingrelated	GeneRIF Biological Term Annotations	1.0	null
H3K4me3_endothelial cell of umbilical vein_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
skeletalmuscle_b	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
EM2	DepMap CRISPR Gene Dependency	1.0	2.24457
RI1	DepMap CRISPR Gene Dependency	1.0	4.48981
THP-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.91132
BRD-K60701773	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.29389
integral component of membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.098109
german	GeneRIF Biological Term Annotations	1.0	null
GTEX-XAJ8-1026-SM-47JY9	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
primary auditory cortex (core)_17 pcw_F_12880	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.39379
RAF1_overexpression_220_GSE42964	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	-1.0	-1.98383
Paramedian lobule	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.23575
anterior (rostral) cingulate (medial prefrontal) cortex_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.07007
GTEX-PWN1-1626-SM-2S1OL	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-Q2AG-0011-R3A-SM-2HMJ9	GTEx Tissue Sample Gene Expression Profiles	1.0	1.3242
MXI1	ENCODE Transcription Factor Targets	1.0	null
GTEX-WFG8-0001-SM-4LVN8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K27me3_kidney epithelial cell_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Primary somatosensory area, trunk, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	2.34481
Kidney renal papillary cell carcinoma_KIRP_TCGA-BQ-5893-01A-11R-1592-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
caudal ganglionic eminence_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.35775
mediodorsal nucleus of thalamus_30 yrs_F_12290	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.852849
STAT3_MCF 10A_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K01286616	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.01828
only	GeneRIF Biological Term Annotations	1.0	null
Simple lobule, molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.06767
MDST8	COSMIC Cell Line Gene Mutation Profiles	1.0	null
GTEX-P4QS-1826-SM-2S1NI	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
indicating	GeneRIF Biological Term Annotations	1.0	null
clathrin-coated vesicle membrane	GO Cellular Component Annotations 2023	1.0	null
posterior (caudal) superior temporal cortex (area 22c)_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.635
GPR158	Pathway Commons Protein-Protein Interactions	1.0	null
vacuole	LOCATE Predicted Protein Localization Annotations	1.0	null
outer SZ in dorsolateral prefrontal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.0186
CSMD2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K76437403	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	5.63679
SPI1_GM12891_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
abnormality of nervous system physiology	GWASdb SNP-Phenotype Associations	1.0	0.151515
GTEX-NL3H-0011-R3a-SM-2I3GL	GTEx Tissue Sample Gene Expression Profiles	1.0	0.877071
H2AFZ_keratinocyte_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
CTCF_GM12892_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Nasopharyngeal Neoplasms	HuGE Navigator Gene-Phenotype Associations	1.0	null
HADHB	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-Q2AG-0526-SM-2S1PW	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CBP-20019798-JUKART-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
BRD-K76147162	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.19858
H3K4me3_fibroblast of upper leg skin_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me2_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me1_liver_mm9_2	ENCODE Histone Modification Site Profiles	1.0	null
MRPL14	Pathway Commons Protein-Protein Interactions	1.0	null
NANOG-18692474-MESC-mouse	ChEA Transcription Factor Binding Site Profiles	1.0	null
SG in lateral temporal-occipital cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.24648
H3K4me1_megakaryocyte_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_cerebellum_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
Primary motor area, Layer 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.14081
H3K4me3_Duodenum Smooth Muscle	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
H3K4me2_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
widely	GeneRIF Biological Term Annotations	1.0	null
H3K4me1_K562_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
hsa-miR-1910	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.843347
MAFK_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
cell part	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
